author,comment,clean_comment,normalized_comment
@heryratno6169,"​ @shellarevi5876 tahu apa yg terjadi pada bu SriMul, menkeu lama? Nah, itu cara dan strategi Presiden untuk mendepak menteri yg tidak kompeten, menteri mafia. Ingat, beliau mantan jenderal Kopassus. 😂 Tunggu saja finale 'konflik' kali ini.",tahu apa yg terjadi pada bu srimul menkeu lama nah itu cara dan strategi presiden untuk mendepak menteri yg tidak kompeten menteri mafia ingat beliau mantan jenderal kopassus tunggu saja finale konflik kali ini,tahu apa yang terjadi pada bu srimul menkeu lama nah itu cara dan strategi presiden untuk mendepak menteri yang tidak kompeten menteri mafia ingat beliau mantan jenderal kopassus tunggu saja finale konflik kali ini
@secondnightfrombehind,Dia kira masih jaman bapaknya 😂😂😂,dia kira masih jaman bapaknya,dia kira masih jaman bapaknya
@ojandsquadny4305,​ @mikeconroe3328 mukanya persis goblin tp item😂,mukanya persis goblin tp item,mukanya persis goblin tapi item
@yakushik,Tuyul hitam ya gitu lah bro,tuyul hitam ya gitu lah bro,tuyul hitam ya gitu lah bro
@iwenxdoier3740,PeA,pea,pea
@nathanwidhiarso8586,​ @Russianroulette-rl6yl hmmmm....kalo saya simak dari nada tulisannya sepertinya anda ternakan partai kuning juga nih.. tapi ingat.. segala kemungkinan bisa terjadi.,rl6yl hmmmm kalo saya simak dari nada tulisannya sepertinya anda ternakan partai kuning juga nih tapi ingat segala kemungkinan bisa terjadi,rl6yl hmmmm kalo saya simak dari nada tulisannya sepertinya anda ternakan partai kuning juga ini tapi ingat segala kemungkinan bisa terjadi
@NurAini-mv4wu,Betull bikin emosi saja ...muka hitam itu lagi,betull bikin emosi saja muka hitam itu lagi,betull bikin emosi saja muka hitam itu lagi
@MfdtlHlmyyh,Emang Bahlil tuh ngga punya logika kan selama ini... Ngga diresuffle sih parah ni Bahlil... Golkar jadi posisi nggak masalah dah,emang bahlil tuh ngga punya logika kan selama ini ngga diresuffle sih parah ni bahlil golkar jadi posisi nggak masalah dah,emang bahlil tuh tidak punya logika kan selama ini tidak diresuffle sih parah ini bahlil golkar jadi posisi tidak masalah sudah
@Senyum30621,MUAK LIAT SI BAHLUL INI,muak liat si bahlul ini,muak liat si bahlul ini
@hellogagas,Logika nya doktor UI 😅,logika nya doktor ui,logika nya doktor ui
@winternotes,😂😂😂 iya bahlul mafia,iya bahlul mafia,iya bahlul mafia
@eryantoja4702,logikanya di dengkul....😂,logikanya di dengkul,logikanya di dengkul
@adityaindrapratama458,"Termul iti nggk masuk akal, logikanya sesat",termul iti nggk masuk akal logikanya sesat,termul iti nggk masuk akal logikanya sesat
@HerdiHidayat-kv4ci,😂😂,,
@abdurrahmanfawazi6066,Itu dia ..kenapa harus impor?,itu dia kenapa harus impor,itu dia kenapa harus impor
@ragenah12,"Indo cma produksi bahan mentah blum bisa nglola sendiri, sehingga indo expor bhan mentah,trus beli bahan jadi",indo cma produksi bahan mentah blum bisa nglola sendiri sehingga indo expor bhan mentah trus beli bahan jadi,indo cma produksi bahan mentah blum bisa nglola sendiri sehingga indo expor bhan mentah terus beli bahan jadi
@Hans27-b2q,Percaya smeagol ???,percaya smeagol,percaya smeagol
@thefachrial8115,"Jelas Dan terang, tinggal tangkap Pak Polisi & KPK, ini bisa buat titik masuk Pemberantasan Korupsi migas",jelas dan terang tinggal tangkap pak polisi kpk ini bisa buat titik masuk pemberantasan korupsi migas,jelas dan terang tinggal tangkap pak polisi kpk ini bisa buat titik masuk pemberantasan korupsi migas
@rojabfadillah6028,"Over capacity tapi solar antri, why",over capacity tapi solar antri why,over capacity tapi solar antri why
@Semogaingat,"Bisa bangun ikn kok ga mau bangun kilang,mana hasil dari membangun ikn?",bisa bangun ikn kok ga mau bangun kilang mana hasil dari membangun ikn,bisa bangun ikn kok tidak mau bangun kilang mana hasil dari membangun ikn
@nananghidayat8321,Mafia kelompok,mafia kelompok,mafia kelompok
@rafirnaschanel3219,Byek sekelas Mentri kita jawabannya kayak anak smp yg masih butuh arahan . Mending jawaban anak SMA pak jelas. C....k,byek sekelas mentri kita jawabannya kayak anak smp yg masih butuh arahan mending jawaban anak sma pak jelas c k,byek sekelas mentri kita jawabannya kayak anak smp yang masih butuh arahan mending jawaban anak sama pak jelas c k
@ekasyahmomon,Dan lucunya mafia nya partai politik kan 😅,dan lucunya mafia nya partai politik kan,dan lucunya mafia nya partai politik kan
@kamudalandax4494,"Selain impor, juga dioplos ethanol 🤣🤣",selain impor juga dioplos ethanol,selain impor juga dioplos ethanol
@akhmadsalim915,Mentri kaya gini aja seneng banget pak presidennya kaga ada keinginan dipecat yakk🤣🤣,mentri kaya gini aja seneng banget pak presidennya kaga ada keinginan dipecat yakk,mentri kaya gini saja seneng banget pak presidennya kaga ada keinginan dipecat yakk
@Agumon44,"Overcapacity tapi BBM dibanyak tempat langka dan sulit stoknya, tolonglah lah ini Bahlil peninggalan Jokowi hukum mati menyusahkan rakyat indonesia",overcapacity tapi bbm dibanyak tempat langka dan sulit stoknya tolonglah lah ini bahlil peninggalan jokowi hukum mati menyusahkan rakyat indonesia,overcapacity tapi bbm dibanyak tempat langka dan sulit stoknya tolonglah lah ini bahlil peninggalan jokowi hukum mati menyusahkan rakyat indonesia
@rizquna8783,Paling2 nanti laporan nya juga masih eugi 😂😂😂😂😂,paling2 nanti laporan nya juga masih eugi,paling2 nanti laporan nya juga masih eugi
@bajiNdoel,"Suruh dia bilang ""Saya malas pak, enak import ga susah"" 🎉",suruh dia bilang saya malas pak enak import ga susah,suruh dia bilang saya malas pak enak import tidak susah
@rheynaldyrama9978,Ada udang di balik bakwan nih,ada udang di balik bakwan nih,ada udang di balik bakwan ini
@alejandronadfa,"bahlil tak ada logika, itulah mengapa perlunya IPK yang tinggi 😂😂",bahlil tak ada logika itulah mengapa perlunya ipk yang tinggi,bahlil tak ada logika itulah mengapa perlunya ipk yang tinggi
@imamdepoair5458,Over kapasitas koq masih impor BBM?!,over kapasitas koq masih impor bbm,over kapasitas koq masih impor bbm
@adeevawulandari854,Barusan sya mau komen gini. 🤣😂👍,barusan sya mau komen gini,barusan sya mau komen gini
@JamiAddin-x4d,​ @AnakSingkong-oi6gb 😂,oi6gb,oi6gb
@waangkarajo,Mungkin sudah kontrak seumur hidup dengan singapura… 🤣🤣🤣🤣,mungkin sudah kontrak seumur hidup dengan singapura,mungkin sudah kontrak seumur hidup dengan singapura
@CepiCepi-q1b,Mafia..takut kehilangan bisnis nya..ngeriii permainan nya..mafia di singapore jadi broker( calo) utk import ke Indonesia..,mafia takut kehilangan bisnis nya ngeriii permainan nya mafia di singapore jadi broker calo utk import ke indonesia,mafia takut kehilangan bisnis nya ngeriii permainan nya mafia di singapore jadi broker calo untuk import ke indonesia
@ilhamnuansa9382,"logika bahlil ga jalan, sengaja biar bikin kaya mafia minya😂",logika bahlil ga jalan sengaja biar bikin kaya mafia minya,logika bahlil tidak jalan sengaja biar bikin kaya mafia minya
@alwaysepicapik,"wkwkwk motor revo ane udah mulai enak tarikannya semenjak rutin pake bbm swasta... ehhh sekarang abis semua dimana mana...
sekarang ane tau sebabnya 
etanol ternyata ngiket air jadi motor berebet... petamono bukannya refleksi diri malah makin monopoli maksain swasta pake etanol.. 
ngaku rugi gaji selangit ditambah bonus aneh aneh😂",wkwkwk motor revo ane udah mulai enak tarikannya semenjak rutin pake bbm swasta ehhh sekarang abis semua dimana mana sekarang ane tau sebabnya etanol ternyata ngiket air jadi motor berebet petamono bukannya refleksi diri malah makin monopoli maksain swasta pake etanol ngaku rugi gaji selangit ditambah bonus aneh aneh,wkwkwk motor revo ane sudah mulai enak tarikannya semenjak rutin pake bbm swasta ehhh sekarang abis semua dimana mana sekarang ane tau sebabnya etanol ternyata ngiket air jadi motor berebet petamono bukannya refleksi diri malah makin monopoli maksain swasta pake etanol ngaku rugi gaji selangit ditambah bonus aneh aneh
@K47YTSUS7415Cc,"Bener kata si Bahlil, Nurut kita yg Salah. ( Dulu Para Pejabat jg bilang kek gitu, "" karena kita gak bisa mengelola, jadi seluruh SDA dr Sabang-Merauke  kita serahkan ke Asing biar dikelolah Oleh mereka "" 😂😂😂 32th berlalu & berlanjut sampe sekarang.",bener kata si bahlil nurut kita yg salah dulu para pejabat jg bilang kek gitu karena kita gak bisa mengelola jadi seluruh sda dr sabang merauke kita serahkan ke asing biar dikelolah oleh mereka 32th berlalu berlanjut sampe sekarang,bener kata si bahlil nurut kita yang salah dulu para pejabat jg bilang kek gitu karena kita gak bisa mengelola jadi seluruh sda dari sabang merauke kita serahkan ke asing biar dikelolah oleh mereka 32th berlalu berlanjut sampe sekarang
@ryanlfc7031,Kuliah nya di oslo jadi gableg 😂,kuliah nya di oslo jadi gableg,kuliah nya di oslo jadi gableg
@umarchatab6145,Logika ngibul,logika ngibul,logika ngibul
@wawaladangultom4196,Mukanya yang over capacity kelewat ganteng,mukanya yang over capacity kelewat ganteng,mukanya yang over capacity kelewat ganteng
@azam7079,Bahlilbahlil,bahlilbahlil,bahlilbahlil
@hendravideographer, @retnayuli  ke saya bang. nanti ta kirim ya,ke saya bang nanti ta kirim ya,ke saya bang nanti ta kirim ya
@krisalfarizi,LoL kau,lol kau,lol kau
@mobiltrukfiz3357,"Itu logika paling sederhana 😢, tapi kok ya berbelit-belit kek ijazah",itu logika paling sederhana tapi kok ya berbelit belit kek ijazah,itu logika paling sederhana tapi kok ya berbelit belit kek ijazah
@mobiltrukfiz3357,"​ @mikeconroe3328 😂😂😂 njir Goblin, Orch-nya siapa dong?",njir goblin orch nya siapa dong,njir goblin orch nya siapa dong
@JAMRUDFoodGame-q3z,"BAHASA TERMUL... shein kanan belok kiri..
Sok NKRI padahal paling GARONG..",bahasa termul shein kanan belok kiri sok nkri padahal paling garong,bahasa termul shein kanan belok kiri sok nkri padahal paling garong
@MrDefour,"Lah saya baru mau komentar kayak begini, tp sudah ada yg komentar ginian duluan 😂",lah saya baru mau komentar kayak begini tp sudah ada yg komentar ginian duluan,lah saya baru mau komentar kayak begini tapi sudah ada yang komentar ginian duluan
@time_traveler85558,Emangnya goblin punya logika? 😂,emangnya goblin punya logika,emangnya goblin punya logika
@AntonBalangan,minyak ngantri di pom bensin 😂,minyak ngantri di pom bensin,minyak ngantri di pom bensin
@agussupriyadi4034,"Dia kira, dia yang paling pinter. Jadi bisa dikibulin...😅😅",dia kira dia yang paling pinter jadi bisa dikibulin,dia kira dia yang paling pinter jadi bisa dikibulin
@Samsul08293,Garong berbulu mentri itu,garong berbulu mentri itu,garong berbulu mentri itu
@theresiasembiring4210,​ @shellarevi5876 mana berani wowok ngelawan si mulyono,mana berani wowok ngelawan si mulyono,mana berani wowok ngelawan si mulyono
@guz3108,​ @mikeconroe3328 😅😅😅 goblin,goblin,goblin
@gustamotto5948,maksud over kapasitas itu tangkinya sdh support banyak. malah over kapasitas tangkinya. masalah bukan di tangki kurang tapi produksi kurang. ini menteri keuangan kok sana sini maksa buang duit. kalau kelebihan mending bagi2 dah ke rakyat.,maksud over kapasitas itu tangkinya sdh support banyak malah over kapasitas tangkinya masalah bukan di tangki kurang tapi produksi kurang ini menteri keuangan kok sana sini maksa buang duit kalau kelebihan mending bagi2 dah ke rakyat,maksud over kapasitas itu tangkinya sudah support banyak malah over kapasitas tangkinya masalah bukan di tangki kurang tapi produksi kurang ini menteri keuangan kok sana sini maksa buang duit kalau kelebihan mending bagi2 sudah ke rakyat
@farmduasatu9387,"Belajar dululah apa.itu over capacity,, jangan disamain dengan ever produksi, dan beljarlah berbaik sangka sama orang, kecuali  sudah terbiasa makan yg tidak halal maka penyakit hati sulit disembuhkan",belajar dululah apa itu over capacity jangan disamain dengan ever produksi dan beljarlah berbaik sangka sama orang kecuali sudah terbiasa makan yg tidak halal maka penyakit hati sulit disembuhkan,belajar dululah apa itu over capacity jangan disamain dengan ever produksi dan beljarlah berbaik sangka sama orang kecuali sudah terbiasa makan yang tidak halal maka penyakit hati sulit disembuhkan
@yuukihighwizard9674,"Overcapacity tapi masyarakat ngantri, impor terus, tapi merugi 😂
jelas lah itu ladang korupsi si bahlil",overcapacity tapi masyarakat ngantri impor terus tapi merugi jelas lah itu ladang korupsi si bahlil,overcapacity tapi masyarakat ngantri impor terus tapi merugi jelas lah itu ladang korupsi si bahlil
@salam_nyangkut.,🤣🤣,,
@ojolgaming9138,Bahlil dicopot saja gpp,bahlil dicopot saja gpp,bahlil dicopot saja gpp
@PutraDua-g9p,"​ @shellarevi5876 ketua partai besar, cukup beresiko klo diganti",ketua partai besar cukup beresiko klo diganti,ketua partai besar cukup beresiko klo diganti
@devonrichs2333,"liat menteri titipan emg kesel bet ya, beda ma pak purbaya yang hanya berpatok ke presiden dan tanpa partai",liat menteri titipan emg kesel bet ya beda ma pak purbaya yang hanya berpatok ke presiden dan tanpa partai,liat menteri titipan emg kesel bet ya beda ma pak purbaya yang hanya berpatok ke presiden dan tanpa partai
@kusada3035,Yang over capacity kayaknya rekening pribadi,yang over capacity kayaknya rekening pribadi,yang over capacity kayaknya rekening pribadi
@ekobudisantoso2840,Kalau bukan karena politik aku yakin pak Bahlil udah diganti yang lebih baik.,kalau bukan karena politik aku yakin pak bahlil udah diganti yang lebih baik,kalau bukan karena politik aku yakin pak bahlil sudah diganti yang lebih baik
@KaryoAbg,Torennya yg kecil om,torennya yg kecil om,torennya yang kecil om
@punksaja301,PARAH EMANG NI MANUSIA,parah emang ni manusia,parah emang ini manusia
@ariyanto-wc2jc,Mau sampai kapan import BBM pak mentri?,mau sampai kapan import bbm pak mentri,mau sampai kapan import bbm pak mentri
@ipoenx7232,​ @NanikSuciowati kan titipan pakde....,kan titipan pakde,kan titipan pakde
@alfatihridho2672,Gak mau bangun kilang takut minyak melimpah rakyat makmur gak bisa impor lagi gak ada yg di korupsi,gak mau bangun kilang takut minyak melimpah rakyat makmur gak bisa impor lagi gak ada yg di korupsi,gak mau bangun kilang takut minyak melimpah rakyat makmur gak bisa impor lagi gak ada yang di korupsi
@Captain-America-Super,"​ @nathanwidhiarso8586 masalahnya politik balas Budi masih tetap berlaku, karena Bahlil jg ikut yg mendukung kemenangan Prabowo",masalahnya politik balas budi masih tetap berlaku karena bahlil jg ikut yg mendukung kemenangan prabowo,masalahnya politik balas budi masih tetap berlaku karena bahlil jg ikut yang mendukung kemenangan prabowo
@Captain-America-Super,​ @shellarevi5876 tau politik balas Budi ?,tau politik balas budi,tau politik balas budi
@igitt2952,Over capacity knp msih impor?,over capacity knp msih impor,over capacity kenapa msih impor
@audricaewaldo3535,"Paling skemanya sama kek korupsi kemarin, di tumbun biar dijual keluar keuntungannya dibagi dah sama satu badan perusahaan.",paling skemanya sama kek korupsi kemarin di tumbun biar dijual keluar keuntungannya dibagi dah sama satu badan perusahaan,paling skemanya sama kek korupsi kemarin di tumbun biar dijual keluar keuntungannya dibagi sudah sama satu badan perusahaan
@butin6666,bahluuuuuul akut,bahluuuuuul akut,bahluuuuuul akut
@suami_sah_eula,Ditambah kilang minya tiap tahun kebakar seolah kita dipaksa import minyak mentah,ditambah kilang minya tiap tahun kebakar seolah kita dipaksa import minyak mentah,ditambah kilang minya tiap tahun kebakar seolah kita dipaksa import minyak mentah
@rivoafriadis4278,"Lah, over tp pemgiriman bbm d prtmna cma sekali sehari, mlem udh hbis itu pertalite,",lah over tp pemgiriman bbm d prtmna cma sekali sehari mlem udh hbis itu pertalite,lah over tapi pemgiriman bbm d prtmna cma sekali sehari mlem sudah hbis itu pertalite
@hdr725,Biar bisa korupsi selisih harga..paham dong,biar bisa korupsi selisih harga paham dong,biar bisa korupsi selisih harga paham dong
@adisuherman1735,Tempat makan MBG saja import dari cina. Supaya dapat cuan,tempat makan mbg saja import dari cina supaya dapat cuan,tempat makan mbg saja import dari cina supaya dapat cuan
@tonyrokuhachi5368,​ @shellarevi5876 mungkin karena ketum kuning ya,mungkin karena ketum kuning ya,mungkin karena ketum kuning ya
@Kururiha,Gk logis😂😊,gk logis,tidak logis
@okiozil4526,Bahlil ganti aja lah,bahlil ganti aja lah,bahlil ganti saja lah
@abdulazizhartanto3597,IPK 2 ga usah ditanya lagi bener salahnya bro wkwk,ipk 2 ga usah ditanya lagi bener salahnya bro wkwk,ipk 2 tidak usah ditanya lagi bener salahnya bro haha
@fchristono,"kl import itu ada fee dan komisi buat para calo atau mafianya kl produksi sendiri apa lg pake minyak mentah dalam negeri gak ada cuan buat pemilik tanker, calo, makelar, perantara dll nya
gitu aja koq repot.. udah terlalu kotor mendingan di bekukan / bubarkan bikin perusahaan baru dgn  org jg baru yg jujur",kl import itu ada fee dan komisi buat para calo atau mafianya kl produksi sendiri apa lg pake minyak mentah dalam negeri gak ada cuan buat pemilik tanker calo makelar perantara dll nya gitu aja koq repot udah terlalu kotor mendingan di bekukan bubarkan bikin perusahaan baru dgn org jg baru yg jujur,kl import itu ada fee dan komisi buat para calo atau mafianya kl produksi sendiri apa lg pake minyak mentah dalam negeri gak ada cuan buat pemilik tanker calo makelar perantara dll nya gitu saja koq repot sudah terlalu kotor mendingan di bekukan bubarkan bikin perusahaan baru dengan org jg baru yang jujur
