author,comment,clean_comment,tokens,filtered_comment
@takumi_8679,"Memang overcapacity, tp mayoritas kilang teknologi jadul, jadi udah ga bisa produksi bbm berkualitas tinggi, otomatis impor ke singapua yg kilangnya lebih modern. Harusnya upgrade kilang",memang overcapacity tp mayoritas kilang teknologi jadul jadi udah ga bisa produksi bbm berkualitas tinggi otomatis impor ke singapua yg kilangnya lebih modern harusnya upgrade kilang,"['memang', 'overcapacity', 'tp', 'mayoritas', 'kilang', 'teknologi', 'jadul', 'jadi', 'udah', 'ga', 'bisa', 'produksi', 'bbm', 'berkualitas', 'tinggi', 'otomatis', 'impor', 'ke', 'singapua', 'yg', 'kilangnya', 'lebih', 'modern', 'harusnya', 'upgrade', 'kilang']",overcapacity tp mayoritas kilang teknologi jadul udah ga produksi bbm berkualitas otomatis impor singapua yg kilangnya modern upgrade kilang
@pratamaramadhan8265,"cuan mereka dari impor bang, jadi gamau nambah kilang wkwkwk",cuan mereka dari impor bang jadi gamau nambah kilang wkwkwk,"['cuan', 'mereka', 'dari', 'impor', 'bang', 'jadi', 'gamau', 'nambah', 'kilang', 'wkwkwk']",cuan impor bang gamau nambah kilang wkwkwk
@yusnomi6370,Teruntuk kalimantan barat antri solar sudh makanan tiap hri selama 7-8 thn,teruntuk kalimantan barat antri solar sudh makanan tiap hri selama  thn,"['teruntuk', 'kalimantan', 'barat', 'antri', 'solar', 'sudh', 'makanan', 'tiap', 'hri', 'selama', 'thn']",teruntuk kalimantan barat antri solar sudh makanan hri thn
@irfanmaulanas6631,Dulu boneka sengkunl ada jokow sekarang ada plcoLo,dulu boneka sengkunl ada jokow sekarang ada plcolo,"['dulu', 'boneka', 'sengkunl', 'ada', 'jokow', 'sekarang', 'ada', 'plcolo']",boneka sengkunl jokow plcolo
@ImsaGiya,Goblin beraksi 😅,goblin beraksi,"['goblin', 'beraksi']",goblin beraksi
@luka123marj,Mafianya parpol itu. Bagi2 cuan...,mafianya parpol itu bagi cuan,"['mafianya', 'parpol', 'itu', 'bagi', 'cuan']",mafianya parpol cuan
@sekjenbatu,Itu tangan colek siapa..?,itu tangan colek siapa,"['itu', 'tangan', 'colek', 'siapa']",tangan colek
@Russianroulette-rl6yl,"​ @shellarevi5876 
Bahlil ini Ketua Umum Golkar. Megawati nya Golkar lah.",bahlil ini ketua umum golkar megawati nya golkar lah,"['bahlil', 'ini', 'ketua', 'umum', 'golkar', 'megawati', 'nya', 'golkar', 'lah']",bahlil ketua golkar megawati nya golkar
@Russianroulette-rl6yl,"​ @nathanwidhiarso8586 
Mana mungkin ngelemahin partai kuning. Bu Tatik Suharto  itu dari partai apa emangnya?",mana mungkin ngelemahin partai kuning bu tatik suharto  itu dari partai apa emangnya,"['mana', 'mungkin', 'ngelemahin', 'partai', 'kuning', 'bu', 'tatik', 'suharto', 'itu', 'dari', 'partai', 'apa', 'emangnya']",ngelemahin partai kuning bu tatik suharto partai emangnya
@MrHaplovan,"Kalau over kapasitas, mestinya bisa ekspor,
Tapi malah impor dngn alasan over demand

Lah kalau kek gitu over kapasitasnya bisa ditanggulangi dengan menambah unit pengolahan dong","kalau over kapasitas mestinya bisa ekspor
tapi malah impor dngn alasan over demand

lah kalau kek gitu over kapasitasnya bisa ditanggulangi dengan menambah unit pengolahan dong","['kalau', 'over', 'kapasitas', 'mestinya', 'bisa', 'ekspor', 'tapi', 'malah', 'impor', 'dngn', 'alasan', 'over', 'demand', 'lah', 'kalau', 'kek', 'gitu', 'over', 'kapasitasnya', 'bisa', 'ditanggulangi', 'dengan', 'menambah', 'unit', 'pengolahan', 'dong']",over kapasitas mestinya ekspor impor dngn alasan over demand kek gitu over kapasitasnya ditanggulangi menambah unit pengolahan
@brugmusic4411,otak pejabatnya bro yg over😂,otak pejabatnya bro yg over,"['otak', 'pejabatnya', 'bro', 'yg', 'over']",otak pejabatnya bro yg over
@jamalel-rhajj8024,Jelas ini mah nongol tiap hari,jelas ini mah nongol tiap hari,"['jelas', 'ini', 'mah', 'nongol', 'tiap', 'hari']",mah nongol
@AdhieeBerewok,Betul,betul,['betul'],
@vivinur3779,Shell aja kosong kok bilang overcapacity batukmu kuwi,shell aja kosong kok bilang overcapacity batukmu kuwi,"['shell', 'aja', 'kosong', 'kok', 'bilang', 'overcapacity', 'batukmu', 'kuwi']",shell aja kosong bilang overcapacity batukmu kuwi
@dearestdi, @shellarevi5876 orangnya siapa dia…ga berani presidennya,orangnya siapa diaga berani presidennya,"['orangnya', 'siapa', 'diaga', 'berani', 'presidennya']",orangnya diaga berani presidennya
@aryalifram9510,"Anjir, gua tiap mau beli dexlite di SPBU langganan,selalu kosong.
Diancok, mana udah jauh juah ke SPBU , eh kosong Mulu.","anjir gua tiap mau beli dexlite di spbu langgananselalu kosong
diancok mana udah jauh juah ke spbu  eh kosong mulu","['anjir', 'gua', 'tiap', 'mau', 'beli', 'dexlite', 'di', 'spbu', 'langgananselalu', 'kosong', 'diancok', 'mana', 'udah', 'jauh', 'juah', 'ke', 'spbu', 'eh', 'kosong', 'mulu']",anjir gua beli dexlite spbu langgananselalu kosong diancok udah juah spbu eh kosong mulu
@jiilassa1986,Sudah beberapa ini hari di kota timika BBM langka. Antrian semua SPBU sangat panjang  skrng per tgl 08 Oktober 2025,sudah beberapa ini hari di kota timika bbm langka antrian semua spbu sangat panjang  skrng per tgl  oktober,"['sudah', 'beberapa', 'ini', 'hari', 'di', 'kota', 'timika', 'bbm', 'langka', 'antrian', 'semua', 'spbu', 'sangat', 'panjang', 'skrng', 'per', 'tgl', 'oktober']",kota timika bbm langka antrian spbu skrng tgl oktober
@ekowaryono8099,"Bahlil genk solo paling vokal di pemerintah, sayang nya dia ketua partai Golkar",bahlil genk solo paling vokal di pemerintah sayang nya dia ketua partai golkar,"['bahlil', 'genk', 'solo', 'paling', 'vokal', 'di', 'pemerintah', 'sayang', 'nya', 'dia', 'ketua', 'partai', 'golkar']",bahlil genk solo vokal pemerintah sayang nya ketua partai golkar
@abah2474,"Overcapacity tapi impor masih tinggi, masih banyak ? Ini biasa mikir tidak ya sebelum bicara 🤔",overcapacity tapi impor masih tinggi masih banyak  ini biasa mikir tidak ya sebelum bicara,"['overcapacity', 'tapi', 'impor', 'masih', 'tinggi', 'masih', 'banyak', 'ini', 'biasa', 'mikir', 'tidak', 'ya', 'sebelum', 'bicara']",overcapacity impor mikir ya bicara
@KlausBernston,Ga ada dia ga bs jd pahlawan di siang bolong​ dong si wowo🤣 @shellarevi5876 ,ga ada dia ga bs jd pahlawan di siang bolong dong si wowo,"['ga', 'ada', 'dia', 'ga', 'bs', 'jd', 'pahlawan', 'di', 'siang', 'bolong', 'dong', 'si', 'wowo']",ga ga bs jd pahlawan siang bolong si wowo
@yuwonobasuki8651,"Yaitu dia, banyak orang o'on & korup di pertama, blm lagi kualitas BBM-nya.
Dengerin tuuhh.....wahai Pertamina apa yg disampaikan oleh Menkeu-Purbaya.
Beliau bkn buzzer dan bukan politikus vs Bahlil.
Lihat aja faktanya.
Jangan muter2 aja Lil.","yaitu dia banyak orang oon  korup di pertama blm lagi kualitas bbmnya
dengerin tuuhhwahai pertamina apa yg disampaikan oleh menkeupurbaya
beliau bkn buzzer dan bukan politikus vs bahlil
lihat aja faktanya
jangan muter aja lil","['yaitu', 'dia', 'banyak', 'orang', 'oon', 'korup', 'di', 'pertama', 'blm', 'lagi', 'kualitas', 'bbmnya', 'dengerin', 'tuuhhwahai', 'pertamina', 'apa', 'yg', 'disampaikan', 'oleh', 'menkeupurbaya', 'beliau', 'bkn', 'buzzer', 'dan', 'bukan', 'politikus', 'vs', 'bahlil', 'lihat', 'aja', 'faktanya', 'jangan', 'muter', 'aja', 'lil']",orang oon korup blm kualitas bbmnya dengerin tuuhhwahai pertamina yg menkeupurbaya beliau bkn buzzer politikus vs bahlil lihat aja faktanya muter aja lil
@firman_mustaqim,Dan harusnya juga murah kok mahal dan terus naik😂,dan harusnya juga murah kok mahal dan terus naik,"['dan', 'harusnya', 'juga', 'murah', 'kok', 'mahal', 'dan', 'terus', 'naik']",murah mahal
@mustafa12-op5er,Sebenarnya setiap hari kekayaan kita di rampok tapi kita diam saja😢😢😢,sebenarnya setiap hari kekayaan kita di rampok tapi kita diam saja,"['sebenarnya', 'setiap', 'hari', 'kekayaan', 'kita', 'di', 'rampok', 'tapi', 'kita', 'diam', 'saja']",kekayaan rampok diam
@Mr_Prime265,Namanya juga BAHLUL,namanya juga bahlul,"['namanya', 'juga', 'bahlul']",namanya bahlul
@mochhadikhilmi1617,Mentri titipan genk oslo,mentri titipan genk oslo,"['mentri', 'titipan', 'genk', 'oslo']",mentri titipan genk oslo
@deavindy5274,Goblin banyak bohong nya,goblin banyak bohong nya,"['goblin', 'banyak', 'bohong', 'nya']",goblin bohong nya
@abubakr535,BUMN tuh gak perlu untung asal bisa memberikan barang komoditas yg terjangkau buat rakyat. Udah bener shell dkk bisa ambil import langsung dari luar tanpa lewat kilang pertamina biar kompetisi harga Jalan,bumn tuh gak perlu untung asal bisa memberikan barang komoditas yg terjangkau buat rakyat udah bener shell dkk bisa ambil import langsung dari luar tanpa lewat kilang pertamina biar kompetisi harga jalan,"['bumn', 'tuh', 'gak', 'perlu', 'untung', 'asal', 'bisa', 'memberikan', 'barang', 'komoditas', 'yg', 'terjangkau', 'buat', 'rakyat', 'udah', 'bener', 'shell', 'dkk', 'bisa', 'ambil', 'import', 'langsung', 'dari', 'luar', 'tanpa', 'lewat', 'kilang', 'pertamina', 'biar', 'kompetisi', 'harga', 'jalan']",bumn tuh gak untung barang komoditas yg terjangkau rakyat udah bener shell dkk ambil import langsung kilang pertamina biar kompetisi harga jalan
@Masaddurenkepel,"kayaknya ada kontrak politik sehingga tidak bisa lgsg main pecat, atau ini memang strategi Pbowo untuk memperlihatkan kinerja Bahlil sehingga terpojok. Pbowo terlihat sudah mulai menekan Bahlil lewat menteri baru nya, pak Menkeu Purbaya. yg berani senggol2 berbagai pihak. Pbowo nampaknya tidak ingin pakai tangan langsung, tp pinjam tangan org lain. strategi sih ini KLO menurut saya.",kayaknya ada kontrak politik sehingga tidak bisa lgsg main pecat atau ini memang strategi pbowo untuk memperlihatkan kinerja bahlil sehingga terpojok pbowo terlihat sudah mulai menekan bahlil lewat menteri baru nya pak menkeu purbaya yg berani senggol berbagai pihak pbowo nampaknya tidak ingin pakai tangan langsung tp pinjam tangan org lain strategi sih ini klo menurut saya,"['kayaknya', 'ada', 'kontrak', 'politik', 'sehingga', 'tidak', 'bisa', 'lgsg', 'main', 'pecat', 'atau', 'ini', 'memang', 'strategi', 'pbowo', 'untuk', 'memperlihatkan', 'kinerja', 'bahlil', 'sehingga', 'terpojok', 'pbowo', 'terlihat', 'sudah', 'mulai', 'menekan', 'bahlil', 'lewat', 'menteri', 'baru', 'nya', 'pak', 'menkeu', 'purbaya', 'yg', 'berani', 'senggol', 'berbagai', 'pihak', 'pbowo', 'nampaknya', 'tidak', 'ingin', 'pakai', 'tangan', 'langsung', 'tp', 'pinjam', 'tangan', 'org', 'lain', 'strategi', 'sih', 'ini', 'klo', 'menurut', 'saya']",kayaknya kontrak politik lgsg main pecat strategi pbowo kinerja bahlil terpojok pbowo menekan bahlil menteri nya menkeu purbaya yg berani senggol pbowo nampaknya pakai tangan langsung tp pinjam tangan org strategi sih klo
@aralmelintang_2,ngomong sama tembok lil,ngomong sama tembok lil,"['ngomong', 'sama', 'tembok', 'lil']",ngomong tembok lil
@archilleschannel9490,Mesti diganti bahlul biar menteri baru Purbaya jd sinkron demi kemajuan Indonesia🎉,mesti diganti bahlul biar menteri baru purbaya jd sinkron demi kemajuan indonesia,"['mesti', 'diganti', 'bahlul', 'biar', 'menteri', 'baru', 'purbaya', 'jd', 'sinkron', 'demi', 'kemajuan', 'indonesia']",mesti diganti bahlul biar menteri purbaya jd sinkron kemajuan indonesia
@armansimanjuntak1709,"Betul,mmg agak Laen ya bro",betulmmg agak laen ya bro,"['betulmmg', 'agak', 'laen', 'ya', 'bro']",betulmmg laen ya bro
@ajatzulkarnaen8866,"Mentri Yang gini jangan di reshuffle tp di keluarkan dari kabinet,",mentri yang gini jangan di reshuffle tp di keluarkan dari kabinet,"['mentri', 'yang', 'gini', 'jangan', 'di', 'reshuffle', 'tp', 'di', 'keluarkan', 'dari', 'kabinet']",mentri gini reshuffle tp keluarkan kabinet
@santrikalong6720,Over-capacity tapi banyak daerah yg susah minyak... Terlalu cerdas otaknya bah,overcapacity tapi banyak daerah yg susah minyak terlalu cerdas otaknya bah,"['overcapacity', 'tapi', 'banyak', 'daerah', 'yg', 'susah', 'minyak', 'terlalu', 'cerdas', 'otaknya', 'bah']",overcapacity daerah yg susah minyak cerdas otaknya bah
@Sadiman-e6p,"​ @cmorimoybalb emang kita eksport k singapura tp minyak mentahnya,nah kita belinya dr mereka yg udh mateng..hebat kan negara kita..😅😅",emang kita eksport k singapura tp minyak mentahnyanah kita belinya dr mereka yg udh matenghebat kan negara kita,"['emang', 'kita', 'eksport', 'k', 'singapura', 'tp', 'minyak', 'mentahnyanah', 'kita', 'belinya', 'dr', 'mereka', 'yg', 'udh', 'matenghebat', 'kan', 'negara', 'kita']",emang eksport k singapura tp minyak mentahnyanah belinya dr yg udh matenghebat negara
@Aaaa1-71,​ @retnayuli seperti biasa menutupi kasus korpsi,seperti biasa menutupi kasus korpsi,"['seperti', 'biasa', 'menutupi', 'kasus', 'korpsi']",menutupi korpsi
@heryratno6169,"​ @shellarevi5876 tahu apa yg terjadi pada bu SriMul, menkeu lama? Nah, itu cara dan strategi Presiden untuk mendepak menteri yg tidak kompeten, menteri mafia. Ingat, beliau mantan jenderal Kopassus. 😂 Tunggu saja finale 'konflik' kali ini.",tahu apa yg terjadi pada bu srimul menkeu lama nah itu cara dan strategi presiden untuk mendepak menteri yg tidak kompeten menteri mafia ingat beliau mantan jenderal kopassus  tunggu saja finale konflik kali ini,"['tahu', 'apa', 'yg', 'terjadi', 'pada', 'bu', 'srimul', 'menkeu', 'lama', 'nah', 'itu', 'cara', 'dan', 'strategi', 'presiden', 'untuk', 'mendepak', 'menteri', 'yg', 'tidak', 'kompeten', 'menteri', 'mafia', 'ingat', 'beliau', 'mantan', 'jenderal', 'kopassus', 'tunggu', 'saja', 'finale', 'konflik', 'kali', 'ini']",yg bu srimul menkeu strategi presiden mendepak menteri yg kompeten menteri mafia beliau mantan jenderal kopassus tunggu finale konflik kali
@secondnightfrombehind,Dia kira masih jaman bapaknya 😂😂😂,dia kira masih jaman bapaknya,"['dia', 'kira', 'masih', 'jaman', 'bapaknya']",jaman bapaknya
@ojandsquadny4305,​ @mikeconroe3328 mukanya persis goblin tp item😂,mukanya persis goblin tp item,"['mukanya', 'persis', 'goblin', 'tp', 'item']",mukanya persis goblin tp item
@yakushik,Tuyul hitam ya gitu lah bro,tuyul hitam ya gitu lah bro,"['tuyul', 'hitam', 'ya', 'gitu', 'lah', 'bro']",tuyul hitam ya gitu bro
@iwenxdoier3740,PeA,pea,['pea'],pea
@nathanwidhiarso8586,​ @Russianroulette-rl6yl hmmmm....kalo saya simak dari nada tulisannya sepertinya anda ternakan partai kuning juga nih.. tapi ingat.. segala kemungkinan bisa terjadi.,rlyl hmmmmkalo saya simak dari nada tulisannya sepertinya anda ternakan partai kuning juga nih tapi ingat segala kemungkinan bisa terjadi,"['rlyl', 'hmmmmkalo', 'saya', 'simak', 'dari', 'nada', 'tulisannya', 'sepertinya', 'anda', 'ternakan', 'partai', 'kuning', 'juga', 'nih', 'tapi', 'ingat', 'segala', 'kemungkinan', 'bisa', 'terjadi']",rlyl hmmmmkalo simak nada tulisannya ternakan partai kuning nih
@NurAini-mv4wu,Betull bikin emosi saja ...muka hitam itu lagi,betull bikin emosi saja muka hitam itu lagi,"['betull', 'bikin', 'emosi', 'saja', 'muka', 'hitam', 'itu', 'lagi']",betull bikin emosi muka hitam
@MfdtlHlmyyh,Emang Bahlil tuh ngga punya logika kan selama ini... Ngga diresuffle sih parah ni Bahlil... Golkar jadi posisi nggak masalah dah,emang bahlil tuh ngga punya logika kan selama ini ngga diresuffle sih parah ni bahlil golkar jadi posisi nggak masalah dah,"['emang', 'bahlil', 'tuh', 'ngga', 'punya', 'logika', 'kan', 'selama', 'ini', 'ngga', 'diresuffle', 'sih', 'parah', 'ni', 'bahlil', 'golkar', 'jadi', 'posisi', 'nggak', 'masalah', 'dah']",emang bahlil tuh ngga logika ngga diresuffle sih parah ni bahlil golkar posisi nggak dah
@Senyum30621,MUAK LIAT SI BAHLUL INI,muak liat si bahlul ini,"['muak', 'liat', 'si', 'bahlul', 'ini']",muak liat si bahlul
@hellogagas,Logika nya doktor UI 😅,logika nya doktor ui,"['logika', 'nya', 'doktor', 'ui']",logika nya doktor ui
@winternotes,😂😂😂 iya bahlul mafia,iya bahlul mafia,"['iya', 'bahlul', 'mafia']",iya bahlul mafia
@eryantoja4702,logikanya di dengkul....😂,logikanya di dengkul,"['logikanya', 'di', 'dengkul']",logikanya dengkul
@adityaindrapratama458,"Termul iti nggk masuk akal, logikanya sesat",termul iti nggk masuk akal logikanya sesat,"['termul', 'iti', 'nggk', 'masuk', 'akal', 'logikanya', 'sesat']",termul iti nggk masuk akal logikanya sesat
@HerdiHidayat-kv4ci,😂😂,nan,[],nan
@abdurrahmanfawazi6066,Itu dia ..kenapa harus impor?,itu dia kenapa harus impor,"['itu', 'dia', 'kenapa', 'harus', 'impor']",impor
@ragenah12,"Indo cma produksi bahan mentah blum bisa nglola sendiri, sehingga indo expor bhan mentah,trus beli bahan jadi",indo cma produksi bahan mentah blum bisa nglola sendiri sehingga indo expor bhan mentahtrus beli bahan jadi,"['indo', 'cma', 'produksi', 'bahan', 'mentah', 'blum', 'bisa', 'nglola', 'sendiri', 'sehingga', 'indo', 'expor', 'bhan', 'mentahtrus', 'beli', 'bahan', 'jadi']",indo cma produksi bahan mentah blum nglola indo expor bhan mentahtrus beli bahan
@Hans27-b2q,Percaya smeagol ???,percaya smeagol,"['percaya', 'smeagol']",percaya smeagol
@thefachrial8115,"Jelas Dan terang, tinggal tangkap Pak Polisi & KPK, ini bisa buat titik masuk Pemberantasan Korupsi migas",jelas dan terang tinggal tangkap pak polisi  kpk ini bisa buat titik masuk pemberantasan korupsi migas,"['jelas', 'dan', 'terang', 'tinggal', 'tangkap', 'pak', 'polisi', 'kpk', 'ini', 'bisa', 'buat', 'titik', 'masuk', 'pemberantasan', 'korupsi', 'migas']",terang tinggal tangkap polisi kpk titik masuk pemberantasan korupsi migas
@rojabfadillah6028,"Over capacity tapi solar antri, why",over capacity tapi solar antri why,"['over', 'capacity', 'tapi', 'solar', 'antri', 'why']",over capacity solar antri why
@Semogaingat,"Bisa bangun ikn kok ga mau bangun kilang,mana hasil dari membangun ikn?",bisa bangun ikn kok ga mau bangun kilangmana hasil dari membangun ikn,"['bisa', 'bangun', 'ikn', 'kok', 'ga', 'mau', 'bangun', 'kilangmana', 'hasil', 'dari', 'membangun', 'ikn']",bangun ikn ga bangun kilangmana hasil membangun ikn
@nananghidayat8321,Mafia kelompok,mafia kelompok,"['mafia', 'kelompok']",mafia kelompok
@rafirnaschanel3219,Byek sekelas Mentri kita jawabannya kayak anak smp yg masih butuh arahan . Mending jawaban anak SMA pak jelas. C....k,byek sekelas mentri kita jawabannya kayak anak smp yg masih butuh arahan  mending jawaban anak sma pak jelas ck,"['byek', 'sekelas', 'mentri', 'kita', 'jawabannya', 'kayak', 'anak', 'smp', 'yg', 'masih', 'butuh', 'arahan', 'mending', 'jawaban', 'anak', 'sma', 'pak', 'jelas', 'ck']",byek sekelas mentri jawabannya kayak anak smp yg butuh arahan mending anak sma ck
@ekasyahmomon,Dan lucunya mafia nya partai politik kan 😅,dan lucunya mafia nya partai politik kan,"['dan', 'lucunya', 'mafia', 'nya', 'partai', 'politik', 'kan']",lucunya mafia nya partai politik
@kamudalandax4494,"Selain impor, juga dioplos ethanol 🤣🤣",selain impor juga dioplos ethanol,"['selain', 'impor', 'juga', 'dioplos', 'ethanol']",impor dioplos ethanol
@akhmadsalim915,Mentri kaya gini aja seneng banget pak presidennya kaga ada keinginan dipecat yakk🤣🤣,mentri kaya gini aja seneng banget pak presidennya kaga ada keinginan dipecat yakk,"['mentri', 'kaya', 'gini', 'aja', 'seneng', 'banget', 'pak', 'presidennya', 'kaga', 'ada', 'keinginan', 'dipecat', 'yakk']",mentri kaya gini aja seneng banget presidennya kaga dipecat yakk
@Agumon44,"Overcapacity tapi BBM dibanyak tempat langka dan sulit stoknya, tolonglah lah ini Bahlil peninggalan Jokowi hukum mati menyusahkan rakyat indonesia",overcapacity tapi bbm dibanyak tempat langka dan sulit stoknya tolonglah lah ini bahlil peninggalan jokowi hukum mati menyusahkan rakyat indonesia,"['overcapacity', 'tapi', 'bbm', 'dibanyak', 'tempat', 'langka', 'dan', 'sulit', 'stoknya', 'tolonglah', 'lah', 'ini', 'bahlil', 'peninggalan', 'jokowi', 'hukum', 'mati', 'menyusahkan', 'rakyat', 'indonesia']",overcapacity bbm dibanyak langka sulit stoknya tolonglah bahlil peninggalan jokowi hukum mati menyusahkan rakyat indonesia
@rizquna8783,Paling2 nanti laporan nya juga masih eugi 😂😂😂😂😂,paling nanti laporan nya juga masih eugi,"['paling', 'nanti', 'laporan', 'nya', 'juga', 'masih', 'eugi']",laporan nya eugi
